Statistical profiling result from bloq-v8.log, (4064 ticks, 54 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%          LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      1  100.0%            LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
      1    1.4%        Eval: ~<anonymous> /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
     18    1.6%      LazyCompile: ~parse /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/content-type/index.js:106:16
     15   83.3%        LazyCompile: ~setCharset /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/utils.js:248:41
     15  100.0%          LazyCompile: ~send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
     15  100.0%            LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      3   16.7%        LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      3  100.0%          LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      3  100.0%            LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
     18    1.6%      LazyCompile: *groupArrayElements internal/util/inspect.js:1261:28
     16   88.9%        LazyCompile: ~reduceToSingleString internal/util/inspect.js:1767:30
     13   81.3%          LazyCompile: ~formatRaw internal/util/inspect.js:807:19
     13  100.0%            LazyCompile: *formatValue internal/util/inspect.js:738:21
      3   18.8%          LazyCompile: *formatRaw internal/util/inspect.js:807:19
      3  100.0%            LazyCompile: *formatValue internal/util/inspect.js:738:21
      2   11.1%        LazyCompile: *reduceToSingleString internal/util/inspect.js:1767:30
      2  100.0%          LazyCompile: *formatRaw internal/util/inspect.js:807:19
      2  100.0%            LazyCompile: *formatValue internal/util/inspect.js:738:21
     16    1.4%      LazyCompile: *header /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:777:29
     10   62.5%        LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
     10  100.0%          LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
     10  100.0%            LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
      6   37.5%        LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      6  100.0%          LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      6  100.0%            LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
     12    1.0%      LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
     12  100.0%        LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
     12  100.0%          LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:116:16
     12  100.0%            LazyCompile: ~dispatch /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:98:45
    272   11.4%    T __ZN2v88internal21Builtin_JsonStringifyEiPmPNS0_7IsolateE
    272  100.0%      LazyCompile: ~stringify /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:1145:20
    272  100.0%        LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
    272  100.0%          LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
    272  100.0%            LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
    192    8.0%    LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
    192  100.0%      LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
    192  100.0%        LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:116:16
    192  100.0%          LazyCompile: ~dispatch /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:98:45
    145   75.5%            LazyCompile: *next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/index.js:177:16
     47   24.5%            LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
     42    1.8%    LazyCompile: *calcularRandoms file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:5:25
     42  100.0%      LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
     42  100.0%        LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
     42  100.0%          LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:116:16
     42  100.0%            LazyCompile: ~dispatch /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:98:45

    420   10.3%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_11WriteStringILNS_8encodingE1EEEiRKN2v820FunctionCallbackInfoINS4_5ValueEEEEEEEvS9_
    420  100.0%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
    420  100.0%      LazyCompile: ~handleWriteReq internal/stream_base_commons.js:47:24
    420  100.0%        LazyCompile: ~writeGeneric internal/stream_base_commons.js:143:22
    266   63.3%          LazyCompile: ~Socket._writeGeneric net.js:759:42
    266  100.0%            LazyCompile: ~Socket._write net.js:796:35
    154   36.7%          LazyCompile: *Writable.write internal/streams/writable.js:258:36
    154  100.0%            LazyCompile: ~value internal/console/constructor.js:258:20

    216    5.3%  LazyCompile: *calcularRandoms file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:5:25
    214   99.1%    LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
    214  100.0%      LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
    214  100.0%        LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:116:16
    214  100.0%          LazyCompile: ~dispatch /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:98:45
    165   77.1%            LazyCompile: *next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/index.js:177:16
     49   22.9%            LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49

     89    2.2%  T _mig_strncpy_zerofill

     74    1.8%  T __ZN4node6crypto4Hash10HashUpdateERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     74  100.0%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
     74  100.0%      LazyCompile: ~update internal/crypto/hash.js:74:40
     74  100.0%        LazyCompile: ~entitytag /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/etag/index.js:39:20
     74  100.0%          LazyCompile: ~etag /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/etag/index.js:70:15
     39   52.7%            LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
     35   47.3%            LazyCompile: ~generateETag /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/utils.js:273:32

     54    1.3%  UNKNOWN
     34   63.0%    T __ZN2v88internal8Compiler30GetSharedFunctionInfoForScriptEPNS0_7IsolateENS0_6HandleINS0_6StringEEERKNS1_13ScriptDetailsENS_19ScriptOriginOptionsEPNS_9ExtensionEPNS0_10ScriptDataENS_14ScriptCompiler14CompileOptionsENSF_13NoCacheReasonENS0_11NativesFlagE
     23   67.6%      LazyCompile: *calcularRandoms file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:5:25
     23  100.0%        LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
     23  100.0%          LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
     23  100.0%            LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:116:16
      3    8.8%      T __ZN2v88internal8Compiler30GetSharedFunctionInfoForScriptEPNS0_7IsolateENS0_6HandleINS0_6StringEEERKNS1_13ScriptDetailsENS_19ScriptOriginOptionsEPNS_9ExtensionEPNS0_10ScriptDataENS_14ScriptCompiler14CompileOptionsENSF_13NoCacheReasonENS0_11NativesFlagE
      2   66.7%        LazyCompile: ~format /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/content-type/index.js:65:17
      1   50.0%          LazyCompile: ~setCharset /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/utils.js:248:41
      1  100.0%            LazyCompile: ~send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      1   50.0%          LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      1  100.0%            LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      1   33.3%        LazyCompile: ~getOwn internal/bootstrap/loaders.js:153:16
      1  100.0%          LazyCompile: ~syncExports internal/bootstrap/loaders.js:258:14
      1  100.0%            LazyCompile: ~<anonymous> internal/bootstrap/loaders.js:244:15
      1    2.9%      LazyCompile: ~setHeader _http_outgoing.js:556:57
      1  100.0%        LazyCompile: ~header /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:777:29
      1  100.0%          LazyCompile: ~send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      1  100.0%            LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      1    2.9%      LazyCompile: ~nextTick internal/process/task_queues.js:101:18
      1  100.0%        LazyCompile: ~onwrite internal/streams/writable.js:394:17
      1  100.0%          LazyCompile: ~afterWriteDispatched internal/stream_base_commons.js:151:30
      1  100.0%            LazyCompile: ~writeGeneric internal/stream_base_commons.js:143:22
      1    2.9%      LazyCompile: ~inspect internal/util/inspect.js:284:17
      1  100.0%        LazyCompile: ~formatWithOptionsInternal internal/util/inspect.js:1893:35
      1  100.0%          LazyCompile: ~formatWithOptions internal/util/inspect.js:1885:27
      1  100.0%            LazyCompile: ~value internal/console/constructor.js:321:20
      1    2.9%      LazyCompile: ~destroy internal/streams/destroy.js:5:17
      1  100.0%        LazyCompile: ~afterShutdown net.js:428:23
      1    2.9%      LazyCompile: ~createPool buffer.js:158:20
      1  100.0%        Eval: ~<anonymous> buffer.js:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:270:27
      1  100.0%            LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:303:29
      1    2.9%      LazyCompile: ~_storeHeader _http_outgoing.js:360:22
      1  100.0%        LazyCompile: ~writeHead _http_server.js:250:19
      1  100.0%          LazyCompile: ~_implicitHeader _http_server.js:245:68
      1  100.0%            LazyCompile: ~write_ _http_outgoing.js:678:16
      1    2.9%      LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      1  100.0%        LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
      1  100.0%          LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:116:16
      1  100.0%            LazyCompile: ~dispatch /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:98:45
      1    2.9%      LazyCompile: *header /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:777:29
      1  100.0%        LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      1  100.0%          LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      1  100.0%            LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      1    1.9%    T __ZN2v88internal17Builtin_JsonParseEiPmPNS0_7IsolateE
      1  100.0%      LazyCompile: ~readPackage internal/modules/cjs/loader.js:240:21
      1  100.0%        LazyCompile: ~resolveExports internal/modules/cjs/loader.js:422:24
      1  100.0%          LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      1  100.0%            LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:796:35
      1    1.9%    LazyCompile: ~Writable.write internal/streams/writable.js:258:36
      1  100.0%      LazyCompile: ~_flushOutput _http_outgoing.js:889:63
      1  100.0%        LazyCompile: ~_writeRaw _http_outgoing.js:330:19
      1  100.0%          LazyCompile: ~_send _http_outgoing.js:305:49
      1  100.0%            LazyCompile: ~write_ _http_outgoing.js:678:16
      1    1.9%    LazyCompile: *formatValue internal/util/inspect.js:738:21
      1  100.0%      LazyCompile: *inspect internal/util/inspect.js:284:17
      1  100.0%        LazyCompile: ~formatWithOptionsInternal internal/util/inspect.js:1893:35
      1  100.0%          LazyCompile: ~formatWithOptions internal/util/inspect.js:1885:27
      1  100.0%            LazyCompile: ~value internal/console/constructor.js:321:20

     46    1.1%  /usr/lib/system/libsystem_malloc.dylib
     15   32.6%    T __ZN2v88internal8Compiler30GetSharedFunctionInfoForScriptEPNS0_7IsolateENS0_6HandleINS0_6StringEEERKNS1_13ScriptDetailsENS_19ScriptOriginOptionsEPNS_9ExtensionEPNS0_10ScriptDataENS_14ScriptCompiler14CompileOptionsENSF_13NoCacheReasonENS0_11NativesFlagE
      5   33.3%      T __ZN2v88internal8Compiler30GetSharedFunctionInfoForScriptEPNS0_7IsolateENS0_6HandleINS0_6StringEEERKNS1_13ScriptDetailsENS_19ScriptOriginOptionsEPNS_9ExtensionEPNS0_10ScriptDataENS_14ScriptCompiler14CompileOptionsENSF_13NoCacheReasonENS0_11NativesFlagE
      3   60.0%        LazyCompile: ~checkInvalidHeaderChar _http_common.js:230:32
      3  100.0%          LazyCompile: ~<anonymous> _http_outgoing.js:546:45
      2   66.7%            LazyCompile: *hidden internal/errors.js:286:25
      1   33.3%            LazyCompile: ~hidden internal/errors.js:286:25
      2   40.0%        LazyCompile: *Writable.write internal/streams/writable.js:258:36
      2  100.0%          LazyCompile: ~_flushOutput _http_outgoing.js:889:63
      2  100.0%            LazyCompile: ~_writeRaw _http_outgoing.js:330:19
      2   13.3%      LazyCompile: ~parse /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/content-type/index.js:106:16
      2  100.0%        LazyCompile: ~setCharset /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/utils.js:248:41
      2  100.0%          LazyCompile: ~send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      2  100.0%            LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      2   13.3%      LazyCompile: ~emitAfterScript internal/async_hooks.js:479:25
      2  100.0%        LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
      2   13.3%      LazyCompile: *nextTick internal/process/task_queues.js:101:18
      2  100.0%        LazyCompile: ~onwrite internal/streams/writable.js:394:17
      2  100.0%          LazyCompile: ~afterWriteDispatched internal/stream_base_commons.js:151:30
      2  100.0%            LazyCompile: ~writeGeneric internal/stream_base_commons.js:143:22
      1    6.7%      LazyCompile: ~nextTick internal/process/task_queues.js:101:18
      1  100.0%        LazyCompile: ~endReadable internal/streams/readable.js:1310:21
      1  100.0%          LazyCompile: ~Readable.read internal/streams/readable.js:390:35
      1  100.0%            LazyCompile: ~resume_ internal/streams/readable.js:965:17
      1    6.7%      LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      1  100.0%        LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
      1  100.0%          LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:116:16
      1  100.0%            LazyCompile: ~dispatch /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:98:45
      1    6.7%      LazyCompile: *header /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:777:29
      1  100.0%        LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      1  100.0%          LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      1  100.0%            LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      1    6.7%      LazyCompile: *calcularRandoms file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:5:25
      1  100.0%        LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      1  100.0%          LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            LazyCompile: ~next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/route.js:116:16
      3    6.5%    T __ZN2v88internal21Builtin_JsonStringifyEiPmPNS0_7IsolateE
      3  100.0%      LazyCompile: ~stringify /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:1145:20
      3  100.0%        LazyCompile: ~json /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:250:25
      3  100.0%          LazyCompile: ~<anonymous> file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:15:26
      3  100.0%            LazyCompile: ~handle /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/layer.js:86:49

